Code	Proposal	n1	n2	n3	year_pres	presented	published	presented_date	1st debate	pri_debate	2nd debate	seg_debate	Approval	Ex Signature	p_veto	published_data	Min de la Ley	Decree	Executive	MP	Party	Commission	Other	na	No. MPs	Multiple parties	Territory	t_pres_1deb	t_pres_2deb	Exe sign	t_pres_exe	t(pres-pub)	t(pres-pub)	t(1std-2ndd)	t(1std-exe)	t(1sd-pub)	t(2nd-exesign)	t(2nd-pub)	t(exesign-pub)	1erd	2nd	DiasGob	1/15/07	DiasGob2
98	Ley orgánica integral para el control del tabaco	A9	P1	B3	2009	1	1	12/8/09	3/25/11	1	6/14/11	1	6/14/11	7/13/11	0	7/22/11	0	0	0	1	0	0	0	0	1	0	0	472	553	7/13/11	582	0	0	81	110	119	29	38	9	1	1	1649		1649
99	Ley de práctica intercultural para el parto acompañado	A9	P0	B3	2009	1	0	12/8/09	12/14/11	1								0	0	1	0	0	0	0	1	0	0	736	 			0	0	 	 	 	 	 	 	1	0	-39097		0
100	Ley orgánica del salario de la dignidad	A5	P0	B3	2009	1	0	12/14/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
101	Ley reformatoria a la ley orgánica de salud	A9	P0	B3	2009	1	0	12/15/09	1/12/12	1								0	0	1	0	0	0	0	1	0	0	758	 			0	0	 	 	 	 	 	 	1	0	-39097		0
102	Ley de remates públicos de los medios de comunicación incautados	A1	P0	B3	2009	1	0	12/16/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
103	Ley reformatoria a la ley de seguridad social	A9	P1	B3	2009	1	1	12/22/09	7/13/10	1	10/21/10	1	10/21/10	11/14/10	0	11/18/10	0	0	0	1	0	0	0	0	1	0	0	203	303	11/14/10	327	0	0	100	124	128	24	28	4	1	1	1403		1403
104	Ley de creación de la universidad estatal técnica de sucumbíos	A8	P0	B3	2009	1	0	12/22/09										0	0	1	0	0	0	0	1	0	1	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
105	Ley reformatoria a la ley de desarrollo agrario	A5	P0	B3	2009	1	0	12/23/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
106	Ley de fomento y desarrollo agropecuario	A5	P0	B3	2009	1	0	12/23/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
107	Ley derogatoria de los artículos 71 y 74 de la ley de radiodifusión y televisión	A3	P0	B3	2009	1	0	12/29/09										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
108	Ley reformatoria al decreto ley de jubilación especial a los trabajadores de la industria del cemento	A3	P0	B3	2010	1	0	1/5/10	11/15/12	1								0	0	1	0	0	0	0	1	0	0	1045	 			0	0	 	 	 	 	 	 	1	0	-39097		0
109	Ley reformatoria a la ley orgánica de la función legislativa	A7	P0	B3	2010	1	0	1/7/10	7/15/10	1	1/31/12	1	1/31/12	4/10/12	0			0	0	1	0	0	0	0	1	0	0	189	754	4/10/12	824	0	0	565	635	 	70	 	 	1	1	-39097		0
110	Ley reformatoria a la codificación del código de trabajo y a la ley orgánica de servicio civil	A3	P0	B3	2010	1	0	1/7/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
111	Ley de depuración de la normativa legal	A1	P1	B2	2010	1	1	1/12/10	4/15/10	1	5/20/10	1	5/20/10	6/21/10	1	7/20/10	0	0	1	0	0	0	0	0			0	93	128	6/21/10	160	0	0	35	67	96	32	61	29	1	1	1282		1282
112	Ley de depuración de la normativa legal no. 2	A1	P1	B2	2010	1	1	1/12/10	6/28/10	1	7/29/10	1	7/29/10	8/23/10	0	9/14/10	0	0	1	0	0	0	0	0			0	167	198	8/23/10	223	0	0	31	56	78	25	47	22	1	1	1338		1338
113	Ley de depuración de la normativa legal no. 3	A1	P1	B2	2010	1	1	1/12/10	9/6/10	1	10/26/10	1	10/26/10	11/22/10	0	11/30/10	0	0	1	0	0	0	0	0			0	237	287	11/22/10	314	0	0	50	77	85	27	35	8	1	1	1415		1415
114	Ley de depuración de la normativa legal no. 4	A1	P1	B2	2010	1	1	1/12/10	9/15/10	1	10/26/10	1	10/26/10	11/25/10	1	12/30/10	0	0	1	0	0	0	0	0			0	246	287	11/25/10	317	0	0	41	71	106	30	65	35	1	1	1445		1445
